data,chuva_mm_dia,pressao_hpa,temperatura_c,temp_max_c,temp_min_c,umidade_pct,ano,evento_extremo,chuva_lag1,chuva_lag2,pressao_lag1,chuva_mm7d,temp_mm7d,umid_mm7d,pressao_delta,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12
2015-03-10,3.6,1007.3708333333334,23.90833333333333,26.1,22.4,86.29166666666667,2015,0,0.6000000000000001,0.0,1007.6625,4.685714285714286,25.386309523809526,76.92857142857143,-0.29166666666662877,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-11,2.4000000000000004,1005.975,24.566666666666663,28.8,21.6,79.29166666666667,2015,0,3.6,0.6000000000000001,1007.3708333333334,5.200000000000001,24.886904761904763,79.55952380952381,-1.3958333333333712,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-12,0.0,1005.6791666666668,24.15416666666667,28.6,20.3,76.45833333333333,2015,0,2.4000000000000004,3.6,1005.975,1.6857142857142868,24.52559523809524,80.91666666666667,-0.2958333333332348,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-13,0.0,1006.0166666666668,24.695833333333336,30.9,20.6,77.625,2015,0,0.0,2.4000000000000004,1005.6791666666668,0.942857142857144,24.429761904761907,79.13095238095238,0.33749999999997726,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-14,0.0,1005.8916666666668,25.941666666666663,32.6,21.2,78.45833333333333,2015,0,0.0,0.0,1006.0166666666668,0.942857142857144,24.46845238095238,78.80952380952381,-0.125,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-15,0.0,1006.5833333333334,25.9375,30.7,22.6,82.375,2015,0,0.0,0.0,1005.8916666666668,0.942857142857144,24.813095238095237,79.55357142857143,0.691666666666606,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-16,0.0,1009.0041666666666,26.04583333333333,29.6,23.6,75.91666666666667,2015,0,0.0,0.0,1006.5833333333334,0.942857142857144,24.96309523809524,80.09523809523809,2.420833333333235,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-17,0.0,1010.7541666666666,23.5875,29.8,19.3,73.95833333333333,2015,0,0.0,0.0,1009.0041666666666,0.8571428571428582,25.03571428571428,79.48809523809523,1.75,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-18,0.0,1011.5166666666668,23.379166666666663,29.2,19.0,70.83333333333333,2015,0,0.0,0.0,1010.7541666666666,0.3428571428571439,24.98988095238095,77.72619047619048,0.7625000000001592,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-19,0.0,1011.2875,24.104166666666668,30.6,18.9,67.66666666666667,2015,0,0.0,0.0,1011.5166666666668,0.0,24.820238095238093,76.51785714285714,-0.22916666666674246,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-20,0.0,1006.6333333333332,24.641666666666666,32.1,18.1,70.08333333333333,2015,0,0.0,0.0,1011.2875,0.0,24.813095238095237,75.26190476190474,-4.654166666666811,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-21,0.0,1005.3458333333332,23.558333333333334,26.3,20.9,71.5,2015,0,0.0,0.0,1006.6333333333332,0.0,24.80535714285714,74.18452380952381,-1.2875000000000227,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-22,0.0,1010.425,20.370833333333334,24.9,15.8,62.91666666666666,2015,0,0.0,0.0,1005.3458333333332,0.0,24.464880952380952,73.19047619047618,5.079166666666765,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-23,0.0,1013.1,20.52083333333333,26.1,16.1,77.625,2015,0,0.0,0.0,1010.425,0.0,23.669642857142858,70.41071428571429,2.675000000000068,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-24,0.0,1013.6208333333334,22.52916666666667,29.0,17.8,73.875,2015,0,0.0,0.0,1013.1,0.0,22.880357142857143,70.65476190476191,0.5208333333333712,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-25,0.0,1010.9625,24.875,31.5,20.2,69.91666666666667,2015,0,0.0,0.0,1013.6208333333334,0.0,22.729166666666664,70.64285714285714,-2.6583333333334167,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-26,2.4000000000000004,1008.15,22.28333333333333,25.3,20.3,82.5,2015,0,0.0,0.0,1010.9625,0.0,22.942857142857143,70.51190476190476,-2.8125,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-27,0.4,1011.9,20.6625,24.5,18.2,71.08333333333333,2015,0,2.4000000000000004,0.0,1008.15,0.3428571428571439,22.682738095238097,72.63095238095238,3.75,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-28,0.0,1013.7833333333332,20.691666666666663,25.8,17.0,75.41666666666667,2015,0,0.4,2.4000000000000004,1011.9,0.4000000000000011,22.114285714285717,72.77380952380952,1.883333333333212,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-29,0.0,1010.8583333333332,22.079166666666666,26.1,19.4,75.41666666666667,2015,0,0.0,0.4,1013.7833333333332,0.4000000000000011,21.704761904761906,73.33333333333334,-2.9249999999999545,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-30,12.4,1004.9833333333332,21.758333333333336,25.6,19.0,82.29166666666667,2015,0,0.0,0.0,1010.8583333333332,0.4000000000000011,21.948809523809523,75.11904761904762,-5.875,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-31,0.0,1006.5541666666668,21.683333333333334,26.0,19.4,80.04166666666667,2015,0,12.4,0.0,1004.9833333333332,2.1714285714285726,22.125595238095237,75.78571428571429,1.5708333333335531,0,0,1,0,0,0,0,0,0,0,0,0
2015-04-01,1.6,1010.2333333333332,22.03333333333333,27.9,18.0,75.91666666666667,2015,0,0.0,12.4,1006.5541666666668,2.1714285714285726,22.004761904761903,76.66666666666667,3.679166666666447,0,0,0,1,0,0,0,0,0,0,0,0
2015-04-02,0.0,1011.4708333333332,22.254166666666663,28.9,16.8,72.16666666666667,2015,0,1.6,0.0,1010.2333333333332,2.4000000000000012,21.598809523809525,77.52380952380953,1.2374999999999545,0,0,0,1,0,0,0,0,0,0,0,0
